,program,nfrags,fraglen,qual_shift,alpha,predicted_phred,predicted_error,n_matches,n_mismatches,n_total,p_mismatch,p_mismatch_lower,p_mismatch_upper,observed_phred,observed_phred_lower,observed_phred_upper
27,seqtk_adna_trim,100000000,120,0,0.01,27,0.001995262314968879,8564099,153,8564252,1.786495773361176e-05,1.436412638178286e-05,2.1933003040763843e-05,47.47998006949977,46.58901901165908,48.4272078241888
28,seqtk_adna_trim,100000000,120,0,0.01,28,0.001584893192461114,9208415,118,9208533,1.2814201784366739e-05,9.979697121353936e-06,1.6177715688625582e-05,48.923084414845505,47.91082801256615,50.00882639125527
29,seqtk_adna_trim,100000000,120,0,0.01,29,0.0012589254117941675,15966927,164,15967091,1.0271125779893156e-05,8.322898391255329e-06,1.2523383275397926e-05,49.88381952391027,49.022783277276254,50.79725407347887
30,seqtk_adna_trim,100000000,120,0,0.01,30,0.001,2877958,21,2877979,7.296787085659763e-06,3.846188184941646e-06,1.2490077894611318e-05,51.36868325923862,49.03434853131519,54.14969470570152
31,seqtk_adna_trim,100000000,120,0,0.01,31,0.0007943282347242813,19856865,137,19857002,6.899329516107215e-06,5.475638272245398e-06,8.567944304038733e-06,51.61193112393662,50.67123365300297,52.61565249646275
32,seqtk_adna_trim,100000000,120,0,0.01,32,0.000630957344480193,10580832,63,10580895,5.954127699027351e-06,4.199379722513719e-06,8.173092963859041e-06,52.251818552136136,50.876135612229604,53.76814853169584
33,seqtk_adna_trim,100000000,120,0,0.01,33,0.0005011872336272725,66068677,206,66068883,3.117957965174014e-06,2.5868311565035995e-06,3.7224059830087697e-06,55.061297440593094,54.29176262434383,55.87231916931623
34,seqtk_adna_trim,100000000,120,0,0.01,34,0.00039810717055349735,153710130,288,153710418,1.8736530922712083e-06,1.6014911767836537e-06,2.177244336598605e-06,57.273108158275775,56.62092830452673,57.954754496849716
35,seqtk_adna_trim,100000000,120,0,0.01,35,0.00031622776601683794,81949364,79,81949443,9.640089927151794e-07,7.07559018708892e-07,1.2802029234482148e-06,60.15918914781439,58.92721185392081,61.50237329046658
36,seqtk_adna_trim,100000000,120,0,0.01,36,0.00025118864315095795,132397778,270,132398048,2.0393049903575616e-06,1.7338167990210707e-06,2.3812997878014386e-06,56.90517818006039,56.23185926731953,57.609967934673854
37,seqtk_adna_trim,100000000,120,0,0.01,37,0.00019952623149688788,208617828,95,208617923,4.5537793989062e-07,3.4403883419908965e-07,5.901291387777619e-07,63.416280119638024,62.290529406940664,64.63392532642213
38,seqtk_adna_trim,100000000,120,0,0.01,38,0.00015848931924611142,11112421530,1493,11112423023,1.3435413652898696e-07,1.255667149147044e-07,1.4357257616115504e-07,68.71748957857103,68.42928506885355,69.01125467642072
0,seqtk_adna_trim,100000000,120,-10,0.01,0,1.0,11403666,11731962,23135628,0.5070950310923049,0.5068272745478561,0.5073627847190023,2.9491064498311825,2.9468139163522715,2.951400219123048
1,seqtk_adna_trim,100000000,120,-10,0.01,1,0.7943282347242815,4170492,3753649,7924141,0.4736979061831434,0.4732409714993697,0.47415487244951626,3.2449853491552365,3.240797822405278,3.249176627638615
2,seqtk_adna_trim,100000000,120,-10,0.01,2,0.6309573444801932,2828272,1922328,4750600,0.40464951795562665,0.40406945404234906,0.4052297728588772,3.929209726304703,3.9229865385146914,3.9354397915959
3,seqtk_adna_trim,100000000,120,-10,0.01,3,0.5011872336272722,2082879,1086558,3169437,0.3428236623728441,0.3421369851115066,0.34351081155619,4.649292098430732,4.640595895351366,4.657999759124767
4,seqtk_adna_trim,100000000,120,-10,0.01,4,0.3981071705534972,3409625,1257910,4667535,0.2695019962357004,0.2689731143643517,0.270031348031899,5.694380135906433,5.685858155187956,5.702911284241564
5,seqtk_adna_trim,100000000,120,-10,0.01,5,0.31622776601683794,4219466,914529,5133995,0.17813203947413273,0.17769726838606503,0.17856740716338493,7.4925795973169365,7.4819780737813515,7.503192482440899
6,seqtk_adna_trim,100000000,120,-10,0.01,6,0.251188643150958,8514057,655082,9169139,0.0714442217529912,0.07122529062035321,0.07166359767643704,11.460328902077627,11.447013930467666,11.473657700343159
7,seqtk_adna_trim,100000000,120,-10,0.01,7,0.19952623149688797,1916522,381360,2297882,0.16596152456914673,0.16532980566217814,0.16659462705244077,7.7999258427373155,7.783390094064506,7.816488447483843
8,seqtk_adna_trim,100000000,120,-10,0.01,8,0.15848931924611134,1655108,185128,1840236,0.10060014041677263,0.10002974414478971,0.10117260277364681,9.974014130953304,9.949370771712474,9.99870842028004
9,seqtk_adna_trim,100000000,120,-10,0.01,9,0.12589254117941673,3417347,420890,3838237,0.10965711601446185,0.10924665289914959,0.11006854703449309,9.599631802606297,9.583367664131595,9.615918600755965
10,seqtk_adna_trim,100000000,120,-10,0.01,10,0.1,3121365,302887,3424252,0.08845347830708722,0.08805864585720069,0.08884945469623473,10.532850844063477,10.513452332851621,10.552279972919738
11,seqtk_adna_trim,100000000,120,-10,0.01,11,0.07943282347242814,4632035,324698,4956733,0.06550645354510723,0.06522051711789378,0.06579322428210954,11.837159122072315,11.818188299181172,11.856157620992517
12,seqtk_adna_trim,100000000,120,-10,0.01,12,0.06309573444801933,3201031,187198,3388229,0.05524951235586497,0.05493028140279366,0.055569992846000615,12.576715508028805,12.55159659125052,12.60188176122143
13,seqtk_adna_trim,100000000,120,-10,0.01,13,0.05011872336272722,7738670,306321,8044991,0.03807599038954798,0.03790240120281696,0.03825012607320977,14.19348791468698,14.173671290643743,14.213332756229606
14,seqtk_adna_trim,100000000,120,-10,0.01,14,0.039810717055349734,4747682,130163,4877845,0.02668452974623015,0.026496931392617884,0.02687305190182565,15.73740446239328,15.706830090838812,15.768044187582465
15,seqtk_adna_trim,100000000,120,-10,0.01,15,0.03162277660168379,9318826,143153,9461979,0.01512928743553542,0.01502726094734863,0.01523180177011163,18.201815260483563,18.17248720923024,18.231201720316562
16,seqtk_adna_trim,100000000,120,-10,0.01,16,0.025118864315095794,4659342,51514,4710856,0.010935167621341006,0.010812133471371665,0.011059190581081846,19.611745554278524,19.562766577540543,19.660886017522223
17,seqtk_adna_trim,100000000,120,-10,0.01,17,0.0199526231496888,10076076,80313,10156389,0.007907633313375453,0.007836225501312355,0.007979502495656599,21.019534776575405,20.980241851062203,21.05893074902098
18,seqtk_adna_trim,100000000,120,-10,0.01,18,0.015848931924611134,13510900,103172,13614072,0.0075783351226583785,0.007517928275271424,0.00763908635362609,21.204261936370045,21.169585806005003,21.239018219851257
19,seqtk_adna_trim,100000000,120,-10,0.01,19,0.012589254117941675,23605851,137051,23742902,0.0057722935469303625,0.0057323247538162425,0.00581246051001405,22.386515912011404,22.356399846983336,22.416692134604652
